"PublYearMonth","Company","CDU/CSU","SPD","GRUNE","FDP","LINKE","AfD","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2019-aug","Kantar(Emnid)",0.26,0.14,0.22,0.09,0.09,0.14,NA,2388,2019-08-10,2019-08-01,2019-08-07,FALSE,"Kantar(Emnid)"
"2019-aug","Forsa",0.26,0.12,0.25,0.08,0.08,0.13,0.22,2503,2019-08-10,2019-08-05,2019-08-09,FALSE,"Forsa"
"2019-aug","Forsch’gr.Wahlen",0.28,0.13,0.25,0.07,0.07,0.13,NA,1307,2019-08-09,2019-08-06,2019-08-08,FALSE,"Forsch’gr.Wahlen"
"2019-aug","Forsch’gr.Wahlen",0.29,0.15,0.28,0.06,0.06,0.1,0.15,NA,2019-08-09,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-aug","INSA",0.275,0.115,0.235,0.09,0.09,0.15,NA,2049,2019-08-05,2019-08-02,2019-08-05,FALSE,"INSA"
"2019-aug","Kantar(Emnid)",0.26,0.13,0.23,0.09,0.08,0.14,NA,1419,2019-08-03,2019-07-25,2019-07-31,FALSE,"Kantar(Emnid)"
"2019-aug","Forsa",0.27,0.13,0.23,0.09,0.08,0.13,0.22,2501,2019-08-03,2019-07-29,2019-08-02,FALSE,"Forsa"
"2019-aug","Infratestdimap",0.26,0.12,0.26,0.08,0.07,0.14,NA,1503,2019-08-01,2019-07-29,2019-07-31,FALSE,"Infratestdimap"
"2019-aug","Infratestdimap",NA,0.11,0.15,0.06,0.15,0.22,NA,NA,2019-08-01,NA,NA,FALSE,"Infratestdimap"
"2019-aug","Infratestdimap",0.27,0.13,0.28,0.09,0.05,0.12,NA,NA,2019-08-01,NA,NA,FALSE,"Infratestdimap"
"2019-jul","Yougov",0.26,0.13,0.24,0.08,0.08,0.14,NA,1594,2019-07-31,2019-07-26,2019-07-29,FALSE,"Yougov"
"2019-jul","INSA",0.27,0.125,0.245,0.09,0.08,0.145,NA,2036,2019-07-30,2019-07-26,2019-07-29,FALSE,"INSA"
"2019-jul","Kantar(Emnid)",0.26,0.14,0.23,0.09,0.08,0.13,NA,1520,2019-07-27,2019-07-18,2019-07-24,FALSE,"Kantar(Emnid)"
"2019-jul","Forsa",0.27,0.13,0.24,0.09,0.07,0.13,0.2,2502,2019-07-27,2019-07-22,2019-07-26,FALSE,"Forsa"
"2019-jul","Infratestdimap",0.26,0.13,0.26,0.09,0.08,0.12,NA,1046,2019-07-25,2019-07-22,2019-07-24,FALSE,"Infratestdimap"
"2019-jul","Allensbach",0.295,0.145,0.23,0.07,0.085,0.115,NA,1228,2019-07-24,2019-07-01,2019-07-11,FALSE,"Allensbach"
"2019-jul","GMS",0.282,0.13,0.258,0.078,0.091,0.122,0.315,NA,2019-07-23,NA,NA,FALSE,"GMS"
"2019-jul","INSA",0.285,0.125,0.225,0.08,0.08,0.145,NA,2081,2019-07-22,2019-07-19,2019-07-22,FALSE,"INSA"
"2019-jul","Kantar(Emnid)",0.27,0.14,0.22,0.09,0.09,0.13,NA,1908,2019-07-20,2019-07-11,2019-07-17,FALSE,"Kantar(Emnid)"
"2019-jul","Forsa",0.27,0.13,0.24,0.08,0.08,0.12,0.2,2500,2019-07-20,2019-07-15,2019-07-19,FALSE,"Forsa"
"2019-jul","Forsch’gr.Wahlen",0.28,0.13,0.25,0.08,0.08,0.12,NA,1290,2019-07-19,2019-07-16,2019-07-18,FALSE,"Forsch’gr.Wahlen"
"2019-jul","Forsch’gr.Wahlen",0.29,0.14,0.28,0.08,0.08,0.08,0.15,NA,2019-07-19,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-jul","INSA",0.26,0.14,0.23,0.09,0.09,0.14,NA,2043,2019-07-15,2019-07-12,2019-07-15,FALSE,"INSA"
"2019-jul","Kantar(Emnid)",0.26,0.15,0.24,0.08,0.09,0.13,NA,2377,2019-07-13,2019-07-04,2019-07-10,FALSE,"Kantar(Emnid)"
"2019-jul","Forsa",0.26,0.13,0.25,0.07,0.08,0.13,0.19,2500,2019-07-13,2019-07-08,2019-07-12,FALSE,"Forsa"
"2019-jul","INSA",0.27,0.135,0.24,0.08,0.085,0.14,NA,2069,2019-07-09,2019-07-05,2019-07-08,FALSE,"INSA"
"2019-jul","Kantar(Emnid)",0.26,0.13,0.24,0.07,0.09,0.14,NA,2389,2019-07-06,2019-06-27,2019-07-03,FALSE,"Kantar(Emnid)"
"2019-jul","Forsa",0.26,0.12,0.26,0.08,0.08,0.12,0.19,2501,2019-07-06,2019-07-01,2019-07-05,FALSE,"Forsa"
"2019-jul","Infratestdimap",0.25,0.13,0.26,0.08,0.08,0.13,NA,1506,2019-07-04,2019-07-01,2019-07-03,FALSE,"Infratestdimap"
"2019-jul","Yougov",0.26,0.13,0.25,0.07,0.08,0.13,NA,1644,2019-07-03,2019-06-28,2019-07-02,FALSE,"Yougov"
"2019-jul","INSA",0.27,0.13,0.24,0.08,0.08,0.14,NA,2053,2019-07-01,2019-06-28,2019-07-01,FALSE,"INSA"
"2019-jun","Kantar(Emnid)",0.26,0.13,0.25,0.08,0.08,0.14,NA,1906,2019-06-29,2019-06-21,2019-06-26,FALSE,"Kantar(Emnid)"
"2019-jun","Forsa",0.26,0.12,0.26,0.08,0.08,0.12,0.19,2501,2019-06-29,2019-06-24,2019-06-28,FALSE,"Forsa"
"2019-jun","Infratestdimap",0.26,0.13,0.25,0.09,0.07,0.12,NA,1051,2019-06-27,2019-06-24,2019-06-26,FALSE,"Infratestdimap"
"2019-jun","GMS",0.26,0.13,0.26,0.08,0.08,0.13,NA,1004,2019-06-25,2019-06-18,2019-06-24,FALSE,"GMS"
"2019-jun","GMS",0.247,0.128,0.262,0.079,0.087,0.143,0.304,NA,2019-06-25,NA,NA,FALSE,"GMS"
"2019-jun","INSA",0.255,0.125,0.255,0.085,0.09,0.135,NA,2078,2019-06-25,2019-06-21,2019-06-24,FALSE,"INSA"
"2019-jun","Kantar(Emnid)",0.27,0.12,0.25,0.07,0.08,0.14,NA,1910,2019-06-22,2019-06-13,2019-06-18,FALSE,"Kantar(Emnid)"
